feature1,feature2,mcs
analyses/RWR/rwr_all_weights_stats.geojson,analyses/zonation/priocomp/04_abf_wgt/04_abf_wgt_out/04_abf_wgt_nwout1.shp,0.04712260491624683
analyses/RWR/rwr_all_weights_stats.geojson,analyses/ILP/ilp_all_weights_stats.geojson,0.01660472804446082
analyses/RWR/rwr_all_weights_stats.geojson,analyses/RWR/rwr_es_stats.geojson,0.30439658938185143
analyses/RWR/rwr_all_weights_stats.geojson,analyses/zonation/priocomp/06_abf_es/06_abf_es_out/06_abf_es_nwout1.shp,0.3136573314469631
analyses/RWR/rwr_all_weights_stats.geojson,analyses/ILP/ilp_es_stats.geojson,0.30515687262144664
analyses/RWR/rwr_all_weights_stats.geojson,analyses/RWR/rwr_bd_stats.geojson,0.19818487999042558
analyses/RWR/rwr_all_weights_stats.geojson,analyses/zonation/priocomp/08_abf_bd/08_abf_bd_out/08_abf_bd_nwout1.shp,0.18407324517932497
analyses/RWR/rwr_all_weights_stats.geojson,analyses/ILP/ilp_bd_stats.geojson,0.19769836817234543
analyses/zonation/priocomp/04_abf_wgt/04_abf_wgt_out/04_abf_wgt_nwout1.shp,analyses/ILP/ilp_all_weights_stats.geojson,0.051362092616859985
analyses/zonation/priocomp/04_abf_wgt/04_abf_wgt_out/04_abf_wgt_nwout1.shp,analyses/RWR/rwr_es_stats.geojson,0.280954144028841
analyses/zonation/priocomp/04_abf_wgt/04_abf_wgt_out/04_abf_wgt_nwout1.shp,analyses/zonation/priocomp/06_abf_es/06_abf_es_out/06_abf_es_nwout1.shp,0.290010799666498
analyses/zonation/priocomp/04_abf_wgt/04_abf_wgt_out/04_abf_wgt_nwout1.shp,analyses/ILP/ilp_es_stats.geojson,0.2821424862707228
analyses/zonation/priocomp/04_abf_wgt/04_abf_wgt_out/04_abf_wgt_nwout1.shp,analyses/RWR/rwr_bd_stats.geojson,0.22068343321820932
analyses/zonation/priocomp/04_abf_wgt/04_abf_wgt_out/04_abf_wgt_nwout1.shp,analyses/zonation/priocomp/08_abf_bd/08_abf_bd_out/08_abf_bd_nwout1.shp,0.20427770625888142
analyses/zonation/priocomp/04_abf_wgt/04_abf_wgt_out/04_abf_wgt_nwout1.shp,analyses/ILP/ilp_bd_stats.geojson,0.21992569333288087
analyses/ILP/ilp_all_weights_stats.geojson,analyses/RWR/rwr_es_stats.geojson,0.2961863515561232
analyses/ILP/ilp_all_weights_stats.geojson,analyses/zonation/priocomp/06_abf_es/06_abf_es_out/06_abf_es_nwout1.shp,0.30613752694554747
analyses/ILP/ilp_all_weights_stats.geojson,analyses/ILP/ilp_es_stats.geojson,0.30165072679952454
analyses/ILP/ilp_all_weights_stats.geojson,analyses/RWR/rwr_bd_stats.geojson,0.19873152229616428
analyses/ILP/ilp_all_weights_stats.geojson,analyses/zonation/priocomp/08_abf_bd/08_abf_bd_out/08_abf_bd_nwout1.shp,0.18598744362395464
analyses/ILP/ilp_all_weights_stats.geojson,analyses/ILP/ilp_bd_stats.geojson,0.1980562340796206
analyses/RWR/rwr_es_stats.geojson,analyses/zonation/priocomp/06_abf_es/06_abf_es_out/06_abf_es_nwout1.shp,0.02801885922266098
analyses/RWR/rwr_es_stats.geojson,analyses/ILP/ilp_es_stats.geojson,0.01998537062768126
analyses/RWR/rwr_es_stats.geojson,analyses/RWR/rwr_bd_stats.geojson,0.4015341041646312
analyses/RWR/rwr_es_stats.geojson,analyses/zonation/priocomp/08_abf_bd/08_abf_bd_out/08_abf_bd_nwout1.shp,0.38896338386843726
analyses/RWR/rwr_es_stats.geojson,analyses/ILP/ilp_bd_stats.geojson,0.40013431119556053
analyses/zonation/priocomp/06_abf_es/06_abf_es_out/06_abf_es_nwout1.shp,analyses/ILP/ilp_es_stats.geojson,0.03741682698698401
analyses/zonation/priocomp/06_abf_es/06_abf_es_out/06_abf_es_nwout1.shp,analyses/RWR/rwr_bd_stats.geojson,0.4081902302783557
analyses/zonation/priocomp/06_abf_es/06_abf_es_out/06_abf_es_nwout1.shp,analyses/zonation/priocomp/08_abf_bd/08_abf_bd_out/08_abf_bd_nwout1.shp,0.39627248882578625
analyses/zonation/priocomp/06_abf_es/06_abf_es_out/06_abf_es_nwout1.shp,analyses/ILP/ilp_bd_stats.geojson,0.4067966116395267
analyses/ILP/ilp_es_stats.geojson,analyses/RWR/rwr_bd_stats.geojson,0.4003434154914513
analyses/ILP/ilp_es_stats.geojson,analyses/zonation/priocomp/08_abf_bd/08_abf_bd_out/08_abf_bd_nwout1.shp,0.38751341259255134
analyses/ILP/ilp_es_stats.geojson,analyses/ILP/ilp_bd_stats.geojson,0.3988960126904442
analyses/RWR/rwr_bd_stats.geojson,analyses/zonation/priocomp/08_abf_bd/08_abf_bd_out/08_abf_bd_nwout1.shp,0.03624901879759781
analyses/RWR/rwr_bd_stats.geojson,analyses/ILP/ilp_bd_stats.geojson,0.010023375792175725
analyses/zonation/priocomp/08_abf_bd/08_abf_bd_out/08_abf_bd_nwout1.shp,analyses/ILP/ilp_bd_stats.geojson,0.03531943937938826
