2016-06-09 16:25:03 [ol_normalize_data] [INFO ]  [1/771] Processing raster data/processed/features/datadryad/forest_production_europe/woodprod_average.tif
2016-06-09 16:25:03 [ol_normalize_data] [DEBUG]  [1/771] Reading in data and OL normalizing
2016-06-09 16:25:04 [ol_normalize_data] [DEBUG]  [1/771] Summing values
2016-06-09 16:25:04 [ol_normalize_data] [INFO ]  [2/771] Processing raster data/processed/features/provide/nature_tourism/nature_tourism.tif
2016-06-09 16:25:04 [ol_normalize_data] [DEBUG]  [2/771] Reading in data and OL normalizing
2016-06-09 16:25:05 [ol_normalize_data] [DEBUG]  [2/771] Summing values
2016-06-09 16:25:05 [ol_normalize_data] [INFO ]  [3/771] Processing raster data/processed/features/provide/erosion_prevention/erosion_prevention.tif
2016-06-09 16:25:05 [ol_normalize_data] [DEBUG]  [3/771] Reading in data and OL normalizing
2016-06-09 16:25:05 [ol_normalize_data] [DEBUG]  [3/771] Summing values
2016-06-09 16:25:05 [ol_normalize_data] [INFO ]  [4/771] Processing raster data/processed/features/provide/agrobiodiversity_species_richness/agrobiodiversity_species_richness.tif
2016-06-09 16:25:05 [ol_normalize_data] [DEBUG]  [4/771] Reading in data and OL normalizing
2016-06-09 16:25:06 [ol_normalize_data] [DEBUG]  [4/771] Summing values
2016-06-09 16:25:06 [ol_normalize_data] [INFO ]  [5/771] Processing raster data/processed/features/provide/species_richness_farmland_birds_original1/species_richness_farmland_birds_original1.tif
2016-06-09 16:25:06 [ol_normalize_data] [DEBUG]  [5/771] Reading in data and OL normalizing
2016-06-09 16:25:07 [ol_normalize_data] [DEBUG]  [5/771] Summing values
2016-06-09 16:25:07 [ol_normalize_data] [INFO ]  [6/771] Processing raster data/processed/features/provide/carbon_sequestration/carbon_sequestration.tif
2016-06-09 16:25:07 [ol_normalize_data] [DEBUG]  [6/771] Reading in data and OL normalizing
2016-06-09 16:25:07 [ol_normalize_data] [DEBUG]  [6/771] Summing values
2016-06-09 16:25:07 [ol_normalize_data] [INFO ]  [7/771] Processing raster data/processed/features/provide/cultural_landscape_index_agro/cultural_landscape_index_agro.tif
2016-06-09 16:25:07 [ol_normalize_data] [DEBUG]  [7/771] Reading in data and OL normalizing
2016-06-09 16:25:08 [ol_normalize_data] [DEBUG]  [7/771] Summing values
2016-06-09 16:25:08 [ol_normalize_data] [INFO ]  [8/771] Processing raster data/processed/features/provide/floodregulation/floodregulation.tif
2016-06-09 16:25:08 [ol_normalize_data] [DEBUG]  [8/771] Reading in data and OL normalizing
2016-06-09 16:25:09 [ol_normalize_data] [DEBUG]  [8/771] Summing values
2016-06-09 16:25:09 [ol_normalize_data] [INFO ]  [9/771] Processing raster data/processed/features/provide/species_richness_vascular_plants/species_richness_vascular_plants.tif
2016-06-09 16:25:09 [ol_normalize_data] [DEBUG]  [9/771] Reading in data and OL normalizing
2016-06-09 16:25:09 [ol_normalize_data] [DEBUG]  [9/771] Summing values
2016-06-09 16:25:09 [ol_normalize_data] [INFO ]  [10/771] Processing raster data/processed/features/provide/megafauna/megafauna.tif
2016-06-09 16:25:09 [ol_normalize_data] [DEBUG]  [10/771] Reading in data and OL normalizing
2016-06-09 16:25:10 [ol_normalize_data] [DEBUG]  [10/771] Summing values
2016-06-09 16:25:10 [ol_normalize_data] [INFO ]  [11/771] Processing raster data/processed/features/provide/cultural_landscape_index_forest/cultural_landscape_index_forest.tif
2016-06-09 16:25:10 [ol_normalize_data] [DEBUG]  [11/771] Reading in data and OL normalizing
