2016-11-04 19:01:13 [clip_udr_data] [INFO ]  [1/763] Clipping dataset data/external/udr/european_tetrapods/amphibians/alytes_cisternasii.tif
2016-11-04 19:01:13 [clip_udr_data] [DEBUG]  [1/763] Target dataset data/processed/features/udr/european_tetrapods/amphibians/alytes_cisternasii.tif
2016-11-04 19:01:18 [clip_udr_data] [DEBUG]  [1/763] Creating output file that is 4526P x 4410L.
2016-11-04 19:01:18 [clip_udr_data] [DEBUG]  [1/763] Processing input file data/external/udr/european_tetrapods/amphibians/alytes_cisternasii.tif.
2016-11-04 19:01:18 [clip_udr_data] [DEBUG]  [1/763] Using internal nodata values (e.g. 255) for image data/external/udr/european_tetrapods/amphibians/alytes_cisternasii.tif.
2016-11-04 19:01:18 [clip_udr_data] [DEBUG]  [1/763] Copying nodata values from source data/external/udr/european_tetrapods/amphibians/alytes_cisternasii.tif to destination data/processed/features/udr/european_tetrapods/amphibians/alytes_cisternasii.tif.
2016-11-04 19:01:18 [clip_udr_data] [DEBUG]  [1/763] 0...10...20...30...40...50...60...70...80...90...100 - done.
2016-11-04 19:01:18 [clip_udr_data] [INFO ]  [2/763] Clipping dataset data/external/udr/european_tetrapods/amphibians/alytes_dickhilleni.tif
2016-11-04 19:01:18 [clip_udr_data] [DEBUG]  [2/763] Target dataset data/processed/features/udr/european_tetrapods/amphibians/alytes_dickhilleni.tif
2016-11-04 19:01:23 [clip_udr_data] [DEBUG]  [2/763] Creating output file that is 4526P x 4410L.
2016-11-04 19:01:23 [clip_udr_data] [DEBUG]  [2/763] Processing input file data/external/udr/european_tetrapods/amphibians/alytes_dickhilleni.tif.
2016-11-04 19:01:23 [clip_udr_data] [DEBUG]  [2/763] Using internal nodata values (e.g. 255) for image data/external/udr/european_tetrapods/amphibians/alytes_dickhilleni.tif.
2016-11-04 19:01:23 [clip_udr_data] [DEBUG]  [2/763] Copying nodata values from source data/external/udr/european_tetrapods/amphibians/alytes_dickhilleni.tif to destination data/processed/features/udr/european_tetrapods/amphibians/alytes_dickhilleni.tif.
2016-11-04 19:01:23 [clip_udr_data] [DEBUG]  [2/763] 0...10...20...30...40...50...60...70...80...90...100 - done.
2016-11-04 19:01:23 [clip_udr_data] [INFO ]  [3/763] Clipping dataset data/external/udr/european_tetrapods/amphibians/alytes_muletensis.tif
2016-11-04 19:01:23 [clip_udr_data] [DEBUG]  [3/763] Target dataset data/processed/features/udr/european_tetrapods/amphibians/alytes_muletensis.tif
2016-11-04 19:01:28 [clip_udr_data] [DEBUG]  [3/763] Creating output file that is 4526P x 4410L.
2016-11-04 19:01:28 [clip_udr_data] [DEBUG]  [3/763] Processing input file data/external/udr/european_tetrapods/amphibians/alytes_muletensis.tif.
2016-11-04 19:01:28 [clip_udr_data] [DEBUG]  [3/763] Using internal nodata values (e.g. 255) for image data/external/udr/european_tetrapods/amphibians/alytes_muletensis.tif.
2016-11-04 19:01:28 [clip_udr_data] [DEBUG]  [3/763] Copying nodata values from source data/external/udr/european_tetrapods/amphibians/alytes_muletensis.tif to destination data/processed/features/udr/european_tetrapods/amphibians/alytes_muletensis.tif.
2016-11-04 19:01:28 [clip_udr_data] [DEBUG]  [3/763] 0...10...20...30...40...50...60...70...80...90...100 - done.
2016-11-04 19:01:28 [clip_udr_data] [INFO ]  [4/763] Clipping dataset data/external/udr/european_tetrapods/amphibians/alytes_obstetricans.tif
2016-11-04 19:01:28 [clip_udr_data] [DEBUG]  [4/763] Target dataset data/processed/features/udr/european_tetrapods/amphibians/alytes_obstetricans.tif
2016-11-04 19:01:34 [clip_udr_data] [DEBUG]  [4/763] Creating output file that is 4526P x 4410L.
2016-11-04 19:01:34 [clip_udr_data] [DEBUG]  [4/763] Processing input file data/external/udr/european_tetrapods/amphibians/alytes_obstetricans.tif.
2016-11-04 19:01:34 [clip_udr_data] [DEBUG]  [4/763] Using internal nodata values (e.g. 255) for image data/external/udr/european_tetrapods/amphibians/alytes_obstetricans.tif.
2016-11-04 19:01:34 [clip_udr_data] [DEBUG]  [4/763] Copying nodata values from source data/external/udr/european_tetrapods/amphibians/alytes_obstetricans.tif to destination data/processed/features/udr/european_tetrapods/amphibians/alytes_obstetricans.tif.
2016-11-04 19:01:34 [clip_udr_data] [DEBUG]  [4/763] 0...10...20...30...40...50...60...70...80...90...100 - done.
2016-11-04 19:01:34 [clip_udr_data] [INFO ]  [5/763] Clipping dataset data/external/udr/european_tetrapods/amphibians/atylodes_genei.tif
2016-11-04 19:01:34 [clip_udr_data] [DEBUG]  [5/763] Target dataset data/processed/features/udr/european_tetrapods/amphibians/atylodes_genei.tif
2016-11-04 19:01:39 [clip_udr_data] [DEBUG]  [5/763] Creating output file that is 4526P x 4410L.
2016-11-04 19:01:39 [clip_udr_data] [DEBUG]  [5/763] Processing input file data/external/udr/european_tetrapods/amphibians/atylodes_genei.tif.
2016-11-04 19:01:39 [clip_udr_data] [DEBUG]  [5/763] Using internal nodata values (e.g. 255) for image data/external/udr/european_tetrapods/amphibians/atylodes_genei.tif.
2016-11-04 19:01:39 [clip_udr_data] [DEBUG]  [5/763] Copying nodata values from source data/external/udr/european_tetrapods/amphibians/atylodes_genei.tif to destination data/processed/features/udr/european_tetrapods/amphibians/atylodes_genei.tif.
2016-11-04 19:01:39 [clip_udr_data] [DEBUG]  [5/763] 0...10...20...30...40...50...60...70...80...90...100 - done.
2016-11-04 19:01:39 [clip_udr_data] [INFO ]  [6/763] Clipping dataset data/external/udr/european_tetrapods/amphibians/bombina_bombina.tif
2016-11-04 19:01:39 [clip_udr_data] [DEBUG]  [6/763] Target dataset data/processed/features/udr/european_tetrapods/amphibians/bombina_bombina.tif
2016-11-04 19:01:45 [clip_udr_data] [DEBUG]  [6/763] Creating output file that is 4526P x 4410L.
2016-11-04 19:01:45 [clip_udr_data] [DEBUG]  [6/763] Processing input file data/external/udr/european_tetrapods/amphibians/bombina_bombina.tif.
2016-11-04 19:01:45 [clip_udr_data] [DEBUG]  [6/763] Using internal nodata values (e.g. 255) for image data/external/udr/european_tetrapods/amphibians/bombina_bombina.tif.
2016-11-04 19:01:45 [clip_udr_data] [DEBUG]  [6/763] Copying nodata values from source data/external/udr/european_tetrapods/amphibians/bombina_bombina.tif to destination data/processed/features/udr/european_tetrapods/amphibians/bombina_bombina.tif.
2016-11-04 19:01:45 [clip_udr_data] [DEBUG]  [6/763] 0...10...20...30...40...50...60...70...80...90...100 - done.
