2017-01-27 14:44:41 [compare_jaccard] [INFO ]  [** COMPUTING JACCARD INDICES **]
2017-01-27 14:44:44 [compare_jaccard] [INFO ]  [1/306] Calculating Jaccard index for [0.0, 0.1] in analyses/RWR/rwr_all_weights.tif and, [0.0, 0.1] in analyses/zonation/priocomp/04_abf_all_wgt/04_abf_all_wgt_out/04_abf_all_wgt.rank.compressed.tif
2017-01-27 14:44:45 [compare_jaccard] [INFO ]  [2/306] Calculating Jaccard index for [0.0, 0.1] in analyses/RWR/rwr_all_weights.tif and, [0.0, 0.1] in analyses/ILP/ilp_all_weights.tif
2017-01-27 14:44:47 [compare_jaccard] [INFO ]  [3/306] Calculating Jaccard index for [0.0, 0.1] in analyses/RWR/rwr_all_weights.tif and, [0.0, 0.1] in analyses/RWR/rwr_all_weights_costs.tif
2017-01-27 14:44:49 [compare_jaccard] [INFO ]  [4/306] Calculating Jaccard index for [0.0, 0.1] in analyses/RWR/rwr_all_weights.tif and, [0.0, 0.1] in analyses/zonation/priocomp/06_abf_all_wgt_cst/06_abf_all_wgt_cst_out/06_abf_all_wgt_cst.rank.compressed.tif
2017-01-27 14:44:51 [compare_jaccard] [INFO ]  [5/306] Calculating Jaccard index for [0.0, 0.1] in analyses/RWR/rwr_all_weights.tif and, [0.0, 0.1] in analyses/ILP/ilp_all_weights_costs.tif
2017-01-27 14:44:52 [compare_jaccard] [INFO ]  [6/306] Calculating Jaccard index for [0.0, 0.1] in analyses/RWR/rwr_all_weights.tif and, [0.0, 0.1] in analyses/RWR/rwr_es.tif
2017-01-27 14:44:54 [compare_jaccard] [INFO ]  [7/306] Calculating Jaccard index for [0.0, 0.1] in analyses/RWR/rwr_all_weights.tif and, [0.0, 0.1] in analyses/zonation/priocomp/08_abf_es/08_abf_es_out/08_abf_es.rank.compressed.tif
2017-01-27 14:44:56 [compare_jaccard] [INFO ]  [8/306] Calculating Jaccard index for [0.0, 0.1] in analyses/RWR/rwr_all_weights.tif and, [0.0, 0.1] in analyses/ILP/ilp_es.tif
2017-01-27 14:44:58 [compare_jaccard] [INFO ]  [9/306] Calculating Jaccard index for [0.0, 0.1] in analyses/RWR/rwr_all_weights.tif and, [0.0, 0.1] in analyses/RWR/rwr_es_costs.tif
2017-01-27 14:44:59 [compare_jaccard] [INFO ]  [10/306] Calculating Jaccard index for [0.0, 0.1] in analyses/RWR/rwr_all_weights.tif and, [0.0, 0.1] in analyses/zonation/priocomp/10_abf_es_cst/10_abf_es_cst_out/10_abf_es_cst.rank.compressed.tif
2017-01-27 14:45:01 [compare_jaccard] [INFO ]  [11/306] Calculating Jaccard index for [0.0, 0.1] in analyses/RWR/rwr_all_weights.tif and, [0.0, 0.1] in analyses/ILP/ilp_es_costs.tif
2017-01-27 14:45:03 [compare_jaccard] [INFO ]  [12/306] Calculating Jaccard index for [0.0, 0.1] in analyses/RWR/rwr_all_weights.tif and, [0.0, 0.1] in analyses/RWR/rwr_bd.tif
2017-01-27 14:45:04 [compare_jaccard] [INFO ]  [13/306] Calculating Jaccard index for [0.0, 0.1] in analyses/RWR/rwr_all_weights.tif and, [0.0, 0.1] in analyses/zonation/priocomp/12_abf_bd/12_abf_bd_out/12_abf_bd.rank.compressed.tif
