2016-12-17 17:59:21 [harmonize_data] [INFO ]  [1/1] Warping dataset data/external/eea/pop_density/pop_density_v5.tif
2016-12-17 17:59:21 [harmonize_data] [DEBUG]  [1/1] Target dataset data/interim/warped/eea/pop_density/pop_density_v5.tif
2016-12-17 18:06:01 [harmonize_data] [INFO ]  [1/1] Clipping dataset data/interim/warped/eea/pop_density/pop_density_v5.tif
2016-12-17 18:06:01 [harmonize_data] [DEBUG]  [1/1] Target dataset data/processed/features/eea/pop_density/pop_density_v5.tif
2016-12-17 18:06:10 [harmonize_data] [DEBUG]  [1/1] Creating output file that is 4526P x 4410L.
2016-12-17 18:06:10 [harmonize_data] [DEBUG]  [1/1] Processing input file data/interim/warped/eea/pop_density/pop_density_v5.tif.
2016-12-17 18:06:10 [harmonize_data] [DEBUG]  [1/1] Using internal nodata values (e.g. -2.14748e+09) for image data/interim/warped/eea/pop_density/pop_density_v5.tif.
2016-12-17 18:06:10 [harmonize_data] [DEBUG]  [1/1] Copying nodata values from source data/interim/warped/eea/pop_density/pop_density_v5.tif to destination data/processed/features/eea/pop_density/pop_density_v5.tif.
2016-12-17 18:06:10 [harmonize_data] [DEBUG]  [1/1] 0...10...20...30...40...50...60...70...80...90...100 - done.
2016-12-17 18:06:10 [harmonize_data] [INFO ]  [1/1] Smoothing dataset data/processed/features/eea/pop_density/pop_density_v5.tif
2016-12-17 18:06:10 [harmonize_data] [DEBUG]  [1/1] Target dataset data/processed/features/eea/pop_density/pop_density_v5_smoothed.tif
